symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2023-05-09 21:19:00+00:00,27734.43,27734.43,27724.87,27734.43,0.03278,9.0,27733.9525869433
BTC/USD,2023-05-09 21:20:00+00:00,27734.43,27747.39,27734.43,27747.39,0.2007,16.0,27736.3040393622
