symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ETH/USD,2023-05-09 18:13:00+00:00,1872.8,1872.8,1871.25,1871.97,2.182,13.0,1871.9622456462
ETH/USD,2023-05-09 18:14:00+00:00,1871.97,1871.97,1869.51,1869.93,6.1807,15.0,1870.3692117398
ETH/USD,2023-05-09 18:40:00+00:00,1874.3,1874.3,1871.75,1872.05,155.8166,74.0,1872.292212505
ETH/USD,2023-05-09 19:23:00+00:00,1868.7,1869.86,1868.1,1869.57,18.3855,25.0,1868.8039319572
